Rial value of the line,Rial value of the line after discount,Rial value of the old line,brand,Rial value of invoice products,packaging,Number of product discounts,Rial discount calculated,Quantity purchased,Distributor,Sum of purchased quantity and product discount,Settlement discount percentage,Riyal volume discount percentage of the invoice,Riyal discount percentage of the line,Basket discount percentage,Discount percentage of the product line,Discount percentage of invoice goods,Percentage of total discounts for one product,Tax percentage on the invoice,Tax percentage on the line,Final tax percentage,invoice date day,invoice year month,The basic price of a product,Invoice serial number,The price of one item for the shopkeeper with all discounts applied,Store code,Shop class,Standard group,Strategic group,Bazar group,Invoice date month,Neighborhoods,Characteristic 2,Characteristic 3,area,Characteristic 1,Numeric area,How to settle,weight,Feature 1,Feature 2
346290,346290,357000,Unknown,1619500,nylon,0,10710,5,Pashaki,5,0,0,3,0,0,0,300.00%,0,0,0,,140101,71400,10117304328,69258,101173,C,Spices and salt,Seasoning and spices,pecan,,Ebi,,,17,,17,1,50,,
360000,360000,360000,Unknown,720000,nylon,0,0,5,Ronisa,5,0,0,0,0,0,0,0.00%,0,0,0,,140102,72000,10191901909,72000,101919,C,Spices and salt,Seasoning and spices,garlic powder,,Eshgh,,,12,,12,1,0,,
392037,360858.64,346000,Erste,4460300,nylon,0,13840,4,TakhtJamshid,4,0,0,4,0,0,0,400.00%,8.640000343,8.640000343,8.640000343,,140102,86500,10190802253,90214.66,101908,A,Spices and salt,Seasoning and spices,red pepper,,Fery,,,5,,5,1,40,,
392660,362055,365712,Amn,7125936,carton,0,3657.12,3,Behesht,3,0,0,1,0,0,0,100.00%,0,8.453000069,8.453000069,,140103,121904,10130605566,120685,101306,B,Spices and salt,Seasoning and spices,cardamom,,Eshgh,,,12,,12,1,0,One shekel,
380000,380000,380000,Unknown,1160000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140103,38000,10155802489,38000,101558,C,Spices and salt,Seasoning and spices,curry spice,,Rey,,,20,,20,1,0,,
414698,381717.5,366000,Erste,4460300,nylon,0,14640,2,TakhtJamshid,2,0,0,4,0,0,0,400.00%,8.640000343,8.640000343,8.640000343,,140102,183000,10190802253,190858.75,101908,A,Spices and salt,Seasoning and spices,curry spice,,Fery,,,5,,5,1,75,,
387940,387939.95,400000,Pahlavi,5665000,nylon,0,12000,5,Abshar,5,3.015000105,0,0,0,0,0,300.00%,0,0,0,,140103,80000,10107605123,77587.99,101076,B,Spices and salt,Seasoning and spices,starch,,Masi,,,15,corn starch,15,1,0,,
411600,411600,420000,Atar,23293000,nylon,0,8400,12,Baroon,12,0,0,2,0,0,0,200.00%,0,0,0,,140101,35000,10199200411,34300,101992,B,Spices and salt,Seasoning and spices,starch,,Jam,,,4,,4,1,60,,
420000,420000,420000,Essen,1590000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140101,70000,10159301468,70000,101593,C,Spices and salt,Seasoning and spices,thyme,,Ebi,,,17,,17,1,0,,
420000,420000,420000,Essen,1590000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140101,70000,10159301468,70000,101593,C,Spices and salt,Seasoning and spices,cinnamon,,Ebi,,,17,Wood,17,1,0,,
420000,420000,420000,Essen,2100000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140101,70000,10120104695,70000,101201,C,Spices and salt,Seasoning and spices,cinnamon,,Moeen,,,9,Wood,9,1,0,,
420000,420000,420000,Essen,2100000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140101,70000,10120104695,70000,101201,C,Spices and salt,Seasoning and spices,sumac,,Moeen,,,9,red sumac,9,1,0,,
420000,420000,420000,Essen,2100000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140101,70000,10120104695,70000,101201,C,Spices and salt,Seasoning and spices,angelica,,Moeen,,,9,,9,1,0,Smooth,
420000,420000,420000,Essen,3575000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140101,70000,10119104737,70000,101191,C,Spices and salt,Seasoning and spices,curry spice,,Moshir,,,15,,15,1,0,,
420000,420000,420000,Essen,3575000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140101,70000,10119104737,70000,101191,C,Spices and salt,Seasoning and spices,Turmeric,,Moshir,,,15,,15,1,0,,
427500,427500,450000,Unknown,2690000,nylon,0,22500,9,Kooh,9,5,0,0,0,0,0,500.00%,0,0,0,,140101,50000,10197200184,47500,101972,C,Spices and salt,Seasoning and spices,angelica,,Pars,,,4,,4,1,0,,
436471,436470.6,450000,Unknown,7650000,nylon,0,13500,10,Ronisa,10,0,3.006999969,0,0,0,0,300.00%,0,0,0,,140102,45000,10183602029,43647.06,101836,C,Spices and salt,Seasoning and spices,Baking powder,,Reza,,,2,,2,1,0,,
436471,436470.6,450000,Unknown,7650000,nylon,0,13500,10,Ronisa,10,0,3.006999969,0,0,0,0,300.00%,0,0,0,,140102,45000,10183602029,43647.06,101836,C,Spices and salt,Seasoning and spices,vanilla,,Reza,,,2,,2,1,0,,
450000,450000,450000,Unknown,4575000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,45000,10183602273,45000,101836,C,Spices and salt,Seasoning and spices,red pepper,,Reza,,,2,,2,1,0,,
450000,450000,450000,Essen,2820000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140101,75000,10139903283,75000,101399,B,Spices and salt,Seasoning and spices,sumac,,Moshir,,,15,red sumac,15,1,0,,
450000,450000,450000,Unknown,7820000,nylon,0,0,10,Karaj,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,45000,10120311463,45000,101203,A,Spices and salt,Seasoning and spices,Baking powder,,Moeen,,,9,,9,1,0,,
450000,450000,450000,Unknown,7820000,nylon,0,0,10,Karaj,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,45000,10120311463,45000,101203,A,Spices and salt,Seasoning and spices,vanilla,,Moeen,,,9,,9,1,0,,
450000,450000,450000,Essen,3750000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140102,75000,10119104835,75000,101191,C,Spices and salt,Seasoning and spices,black pepper,,Moshir,,,15,,15,1,0,,
450000,450000,450000,Essen,3750000,nylon,0,0,6,Lahijan,6,0,0,0,0,0,0,0.00%,0,0,0,,140102,75000,10119104835,75000,101191,C,Spices and salt,Seasoning and spices,red pepper,,Moshir,,,15,,15,1,0,,
460000,460000,460000,Lib,9389500,nylon,0,0,5,Mahan,5,0,0,0,0,0,0,0.00%,0,0,0,,140101,92000,10134704282,92000,101347,C,Spices and salt,Seasoning and spices,thyme,,Ahan,,,22,,22,1,35,,
465528,465527.94,480000,Pahlavi,5665000,nylon,0,14400,6,Abshar,6,3.015000105,0,0,0,0,0,300.00%,0,0,0,,140103,80000,10107605123,77587.99,101076,B,Spices and salt,Seasoning and spices,pecan,,Masi,,,15,,15,1,0,,
465528,465527.94,480000,Pahlavi,5665000,nylon,0,14400,6,Abshar,6,3.015000105,0,0,0,0,0,300.00%,0,0,0,,140103,80000,10107605123,77587.99,101076,B,Spices and salt,Seasoning and spices,red pepper,,Masi,,,15,,15,1,0,,
470000,470000,470000,Unknown,2200000,nylon,0,0,10,Eeman,10,0,0,0,0,0,0,0.00%,0,0,0,,140102,47000,10153002273,47000,101530,C,Spices and salt,Seasoning and spices,pecan,,Afsar,,,15,,15,1,0,,
473682,473682.48,710600,Berlin,3597700,Pat,0,236629.8,4,Pishtaz,4,0,0,0,22.22200012,0,11.11800003,3330.00%,0,0,0,,140101,177650,10135303245,118420.62,101353,A,Spices and salt,Seasoning and spices,Turmeric,,Binam,,,10,,10,1,90,,
473760,473760,592200,Angel,2873400,nylon,0,118440,6,Novin,6,0,0,20,0,0,0,2000.00%,0,0,0,,140103,98700,10156301976,78960,101563,B,Spices and salt,Seasoning and spices,Turmeric,,Shariat,,,19,,19,1,60,,
473760,473760,592200,Angel,1889400,nylon,0,118440,6,Novin,6,0,0,20,0,0,0,2000.00%,0,0,0,,140102,98700,10156301858,78960,101563,B,Spices and salt,Seasoning and spices,Turmeric,,Shariat,,,19,,19,1,60,,
480000,480000,480000,Loot,26874000,nylon,0,0,3,Ketab,3,0,0,0,0,0,0,0.00%,0,0,0,,140101,160000,10151706134,160000,101517,B,Spices and salt,Seasoning and spices,pecan,,Government,,,3,,3,1,0,colored,
480000,480000,480000,Deylam,38254502,Pat,0,0,8,Desert,8,0,0,0,0,0,0,0.00%,0,0,0,,140101,60000,10133402831,60000,101334,C,Spices and salt,Seasoning and spices,sumac,,Masi,,,15,red sumac,15,1,0,,
490000,490000,490000,Unknown,5150000,nylon,0,0,10,Eeman,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,49000,10153002118,49000,101530,C,Spices and salt,Seasoning and spices,Turmeric,,Afsar,,,15,,15,1,0,,
500000,500000,500000,Unknown,7750000,nylon,0,0,5,Ronisa,5,0,0,0,0,0,0,0.00%,0,0,0,,140103,100000,10209400954,100000,102094,C,Spices and salt,Seasoning and spices,vanilla,,Tehranhead,,,21,,21,1,0,,
500000,500000,500000,Unknown,10350000,nylon,0,0,5,Ronisa,5,0,0,0,0,0,0,0.00%,0,0,0,,140102,100000,10209400159,100000,102094,C,Spices and salt,Seasoning and spices,curry spice,,Tehranhead,,,21,,21,1,0,,
500000,500000,500000,Unknown,35720000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140103,50000,10207100608,50000,102071,B,Spices and salt,Seasoning and spices,vanilla,,Zendan,,,1,,1,1,20,,
500000,500000,500000,Unknown,1140000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,50000,10144301562,50000,101443,B,Spices and salt,Seasoning and spices,Turmeric,,Winner,,,14,,14,1,0,,
500000,500000,500000,Unknown,15050000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,50000,10120311371,50000,101203,A,Spices and salt,Seasoning and spices,red pepper,,Moeen,,,9,,9,1,0,,
520000,520000,520000,Unknown,6235000,nylon,0,0,4,Karaj,4,0,0,0,0,0,0,0.00%,0,0,0,,140101,130000,10120312188,130000,101203,A,Spices and salt,Seasoning and spices,curry spice,,Moeen,,,9,,9,1,0,,
530004,530004,530004,Loto,4380009,nylon,0,0,12,Golshifte,12,0,0,0,0,0,0,0.00%,0,0,0,,140102,44167,10177303664,44167,101773,A,Spices and salt,Seasoning and spices,starch,,Mahalat,,,1,,1,1,0,,
532000,532000,532000,Unknown,3792000,nylon,0,0,4,Gilan,4,0,0,0,0,0,0,0.00%,0,0,0,,140102,133000,10161207282,133000,101612,B,Spices and salt,Seasoning and spices,Paprika pepper,,Hend,,,6,,6,1,0,,
536193,536193.12,558000,Herkool,55363600,nylon,0,21762,12,Aroosha,12,2.907999992,0,1,0,0,0,390.00%,0,0,0,,140102,46500,10194001208,44682.76,101940,C,Spices and salt,Seasoning and spices,starch,,Government,,,3,,3,1,70,,
538478,538478.44,710600,Berlin,6033060,Pat,0,171965.2,4,Pishtaz,4,2,0,0,22.22200012,0,0,2420.00%,0,0,0,,140101,177650,10205000209,134619.61,102050,A,Spices and salt,Seasoning and spices,Turmeric,,Zendan,,,1,,1,1,90,,
538478,538478.44,710600,Berlin,33071339,Pat,0,171965.2,4,Pishtaz,4,2,0,0,22.22200012,0,0,2420.00%,0,0,0,,140102,177650,10188902189,134619.61,101889,C,Spices and salt,Seasoning and spices,Turmeric,,Emami,,,13,,13,1,90,,
540000,540000,540000,Unknown,5215000,Pat,0,0,4,Ronisa,4,0,0,0,0,0,0,0.00%,0,0,0,,140102,135000,10120311923,135000,101203,A,Spices and salt,Seasoning and spices,garlic powder,,Moeen,,,9,,9,1,0,,
541260,541260,558000,Herkool,8114000,nylon,0,16740,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140101,46500,10195202252,45105,101952,A,Spices and salt,Seasoning and spices,starch,,Bala,,,1,,1,1,70,,
541260,541260,558000,Herkool,1998000,nylon,0,16740,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140101,46500,10194001180,45105,101940,C,Spices and salt,Seasoning and spices,starch,,Government,,,3,,3,1,70,,
541260,541260,558000,Herkool,43596000,nylon,0,16740,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140101,46500,10186401711,45105,101864,B,Spices and salt,Seasoning and spices,starch,,CityZiba,,,5,,5,1,70,,
541260,541260,558000,Herkool,29296000,nylon,0,16740,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140101,46500,10182301160,45105,101823,B,Spices and salt,Seasoning and spices,starch,,Afsar,,,15,,15,1,70,,
541260,541260,558000,Herkool,2538000,nylon,0,16740,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140102,46500,10175102872,45105,101751,B,Spices and salt,Seasoning and spices,starch,,Aghdas,,,1,,1,1,70,,
541260,541260,558000,Herkool,6738000,nylon,0,16740,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140101,46500,10153502313,45105,101535,C,Spices and salt,Seasoning and spices,starch,,Pars,,,4,,4,1,70,,
541260,541260,558000,Herkool,6430000,nylon,0,16740,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140101,46500,10151106687,45105,101511,B,Spices and salt,Seasoning and spices,starch,,Satar,,,2,,2,1,70,,
541260,541260,558000,Herkool,14692000,nylon,0,16740,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140102,46500,10142901791,45105,101429,C,Spices and salt,Seasoning and spices,starch,,Rey,,,20,,20,1,70,,
541260,541260,558000,Herkool,16261000,nylon,0,16740,12,Aroosha,12,3,0,0,0,0,0,300.00%,0,0,0,,140101,46500,10120805046,45105,101208,C,Spices and salt,Seasoning and spices,starch,,Rey,,,20,,20,1,70,,
541636,541635.84,558000,Herkool,64007000,nylon,0,16182,12,Aroosha,12,2.933000088,0,0,0,0,0,290.00%,0,0,0,,140102,46500,10125201882,45136.32,101252,B,Spices and salt,Seasoning and spices,starch,,Tehranhead,,,21,,21,1,70,,
541668,541668.24,710600,Berlin,3197700,Pat,0,169122.8,4,Pishtaz,4,1.550999999,0,0,0,0,22.22200012,2380.00%,0,0,0,,140102,177650,10146601425,135417.06,101466,C,Spices and salt,Seasoning and spices,Turmeric,,Daryoush,,,18,,18,1,90,,
541899,541898.76,558000,Herkool,77882000,nylon,0,16182,12,Aroosha,12,2.885999918,0,0,0,0,0,290.00%,0,0,0,,140102,46500,10181300913,45158.23,101813,B,Spices and salt,Seasoning and spices,starch,,Pars,,,4,,4,1,70,,
592687,543749.76,550359,Lovely,61059370,nylon,0,51733.746,3,Rasht,3,0,0,9.359000206,0,0,0,940.00%,9,8.491999626,9,,140103,183453,10169003451,181249.92,101690,B,Spices and salt,Seasoning and spices,Turmeric,,Janat,,,5,,5,1,155,,
545625,545625,562500,Unknown,1619500,nylon,0,16875,5,Pashaki,5,0,0,3,0,0,0,300.00%,0,0,0,,140101,112500,10117304328,109125,101173,C,Spices and salt,Seasoning and spices,black pepper,,Ebi,,,17,,17,1,30,,
547400,547400,595000,Unknown,5952500,nylon,0,47600,10,Paytakht,10,0,8,0,0,0,0,800.00%,0,0,0,,140101,59500,10188902321,54740,101889,C,Spices and salt,Seasoning and spices,starch,,Emami,,,13,,13,1,0,,
598270,548871.69,560289,Lovely,25807104,nylon,0,56589.189,3,Rasht,3,0,0,10.1260004,0,0,0,1010.00%,9,8.345999718,9,,140101,186763,10190901736,182957.23,101909,B,Spices and salt,Seasoning and spices,Turmeric,,Janat,,,5,,5,1,155,,
550000,550000,550000,Unknown,7750000,nylon,0,0,5,Ronisa,5,0,0,0,0,0,0,0.00%,0,0,0,,140103,110000,10209400954,110000,102094,C,Spices and salt,Seasoning and spices,Turmeric,,Tehranhead,,,21,,21,1,0,,
550000,550000,550000,Unknown,10350000,nylon,0,0,5,Ronisa,5,0,0,0,0,0,0,0.00%,0,0,0,,140102,110000,10209400159,110000,102094,C,Spices and salt,Seasoning and spices,Turmeric,,Tehranhead,,,21,,21,1,0,,
550000,550000,550000,Unknown,5730000,Pat,0,0,5,Ronisa,5,0,0,0,0,0,0,0.00%,0,0,0,,140102,110000,10196701366,110000,101967,C,Spices and salt,Seasoning and spices,cinnamon,,Khale,,,8,,8,1,0,,
550000,550000,550000,Unknown,1830000,nylon,0,0,10,Eeman,10,0,0,0,0,0,0,0.00%,0,0,0,,140102,55000,10153002230,55000,101530,C,Spices and salt,Seasoning and spices,Turmeric,,Afsar,,,15,,15,1,0,,
550000,550000,550000,Unknown,5150000,nylon,0,0,10,Eeman,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,55000,10153002118,55000,101530,C,Spices and salt,Seasoning and spices,starch,,Afsar,,,15,,15,1,0,,
550000,550000,550000,Unknown,3445000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140103,55000,10139807078,55000,101398,B,Spices and salt,Seasoning and spices,pecan,,Ahan,,,22,,22,1,0,,
552690,552690.44,710600,Berlin,3197700,Pat,0,157753.2,4,Pishtaz,4,0,0,0,0,0,22.22200012,2220.00%,0,0,0,,140102,177650,10183801716,138172.61,101838,B,Spices and salt,Seasoning and spices,Turmeric,,Ashraf,,,2,,2,1,90,,
552690,552690.44,710600,Berlin,3197700,Pat,0,157753.2,4,Pishtaz,4,0,0,0,0,0,22.22200012,2220.00%,0,0,0,,140102,177650,10182301453,138172.61,101823,B,Spices and salt,Seasoning and spices,Turmeric,,Afsar,,,15,,15,1,90,,
552690,552690.44,710600,Berlin,7175150,Pat,0,157753.2,4,Pishtaz,4,0,0,0,22.22200012,0,0,2220.00%,0,0,0,,140102,177650,10140104547,138172.61,101401,B,Spices and salt,Seasoning and spices,Turmeric,,Moeen,,,9,,9,1,90,,
552690,552690.44,710600,Berlin,8869240,Pat,0,157753.2,4,Pishtaz,4,0,0,0,22.22200012,0,0,2220.00%,0,0,0,,140102,177650,10138109631,138172.61,101381,C,Spices and salt,Seasoning and spices,Turmeric,,Fery,,,5,,5,1,90,,
552690,552690.44,710600,Berlin,6993800,Pat,0,157753.2,4,Pishtaz,4,0,0,0,22.22200012,0,0,2220.00%,0,0,0,,140102,177650,10126315208,138172.61,101263,A,Spices and salt,Seasoning and spices,Turmeric,,Sani,,,1,,1,1,90,,
552690,552690.44,710600,Berlin,17478350,Pat,0,157753.2,4,Pishtaz,4,0,0,0,22.22200012,0,0,2220.00%,0,0,0,,140102,177650,10125612555,138172.61,101256,B,Spices and salt,Seasoning and spices,Turmeric,,Nan,,,1,,1,1,90,,
552690,552690.44,710600,Berlin,13662200,Pat,0,157753.2,4,Pishtaz,4,0,0,0,22.22200012,0,0,2220.00%,0,0,0,,140102,177650,10104510493,138172.61,101045,B,Spices and salt,Seasoning and spices,Turmeric,,Kerman,,,8,,8,1,90,,
602496,552748.83,550458,Lovely,32660562,nylon,0,43486.182,3,Rasht,3,0,0,7.875,0,0,0,790.00%,9,8.671999931,9,,140103,183486,10151706594,184249.61,101517,B,Spices and salt,Seasoning and spices,Turmeric,,Government,,,3,,3,1,155,,
